job_category,continent,experience_level,employment_type,company_size,work_year,salary_in_usd,salary_in_usd,salary_in_usd
,,,,,,count,mean,std
DATA_SCIENCE,NORTH_AMERICA,EN,FT,M,2024,44,135486.5909090909,57676.91567742949
DATA_SCIENCE,NORTH_AMERICA,EN,FT,S,2020,1,105000.0,
DATA_SCIENCE,NORTH_AMERICA,EN,FT,S,2021,2,95000.0,7071.067811865475
DATA_SCIENCE,NORTH_AMERICA,EN,FT,S,2023,1,110000.0,
DATA_SCIENCE,NORTH_AMERICA,EN,PT,L,2024,2,90630.0,85743.76828668076
DATA_SCIENCE,NORTH_AMERICA,EN,PT,M,2023,2,95650.0,52820.8765546351
DATA_SCIENCE,NORTH_AMERICA,EN,PT,M,2024,4,169245.0,98543.14300514944
DATA_SCIENCE,NORTH_AMERICA,EX,FT,M,2022,2,144500.0,20506.096654409877
DATA_SCIENCE,NORTH_AMERICA,EX,FT,M,2023,26,193311.53846153847,57449.68634847767
DATA_SCIENCE,NORTH_AMERICA,EX,FT,M,2024,6,165500.0,50865.155067098734
DATA_SCIENCE,NORTH_AMERICA,MI,CT,M,2024,2,120000.0,14142.13562373095
DATA_SCIENCE,NORTH_AMERICA,MI,FL,M,2022,1,100000.0,
DATA_SCIENCE,NORTH_AMERICA,MI,FT,L,2020,1,105000.0,
DATA_SCIENCE,NORTH_AMERICA,MI,FT,L,2021,9,116828.22222222222,44048.92381709733
DATA_SCIENCE,NORTH_AMERICA,MI,FT,L,2022,8,124125.0,42662.92301284571
DATA_SCIENCE,NORTH_AMERICA,MI,FT,L,2023,41,178589.0975609756,67511.263994168
DATA_SCIENCE,NORTH_AMERICA,MI,FT,L,2024,66,174416.66666666666,46457.436544178905
DATA_SCIENCE,NORTH_AMERICA,MI,FT,M,2020,3,235450.0,186084.1409148023
DATA_SCIENCE,NORTH_AMERICA,MI,FT,M,2021,2,106905.0,60945.53347046853
DATA_SCIENCE,NORTH_AMERICA,MI,FT,M,2022,32,125026.625,39821.445571491065
DATA_SCIENCE,NORTH_AMERICA,MI,FT,M,2023,286,145850.95104895104,51097.267399567056
DATA_SCIENCE,NORTH_AMERICA,MI,FT,M,2024,446,141968.98430493273,60483.63085418543
DATA_SCIENCE,NORTH_AMERICA,MI,FT,S,2020,1,45760.0,
DATA_SCIENCE,NORTH_AMERICA,MI,FT,S,2021,1,82500.0,
DATA_SCIENCE,NORTH_AMERICA,MI,FT,S,2022,1,48000.0,
DATA_SCIENCE,NORTH_AMERICA,MI,FT,S,2023,1,96313.0,
DATA_SCIENCE,NORTH_AMERICA,MI,FT,S,2024,1,65000.0,
DATA_SCIENCE,NORTH_AMERICA,MI,PT,M,2024,4,104571.5,30774.983883017714
DATA_SCIENCE,NORTH_AMERICA,SE,CT,M,2021,1,105000.0,
DATA_SCIENCE,NORTH_AMERICA,SE,CT,M,2024,2,155948.0,49609.1975544858
DATA_SCIENCE,NORTH_AMERICA,SE,FT,L,2020,3,200142.66666666666,185276.99549953127
DATA_SCIENCE,NORTH_AMERICA,SE,FT,L,2021,4,124951.0,31562.227667471972
